CLST,site.name,long,lat,tmax,precip,srad,elevation,cat,pair,divide
BG,Babbit Gulch,-107.3813235,39.3936402,21.92727245,37.18181749,23798.00018,2693.320909,high,W2,west
CR,Carpenter Ranch,-107.1981184,40.48278875,27.71111043,35.33333206,24188,2004.916667,low,W1,west
DL,Dumont Lake,-106.6194684,40.41099467,19.13611078,53.08333302,23333.02735,2957.9225,high,W1,west
FV,Fountain Valley,-104.7008935,38.7452255,28.86969671,59.33333206,23979.78747,1754.608182,low,E3,east
HM,Harbison Meadows,-105.8392009,40.27660003,20.76666641,50.66666794,22829.33398,2648.1325,high,X,west
HT,High Trails Ranch,-105.3032609,38.87909918,22.96363622,62.66666794,23187.81853,2703.904545,high,E3,east
KP,Kebler Pass,-107.1754194,38.87398543,21.89696988,38.12121131,23882.03019,2711.395455,high,W3,west
LF,D Loukonen Farm,-105.2691072,40.1532436,28.70000076,45.33333206,23380.33398,1715.817273,low,X,east
LL,Little Laramie,-105.86034,40.65651142,19.5,57,23039.33398,2644.2975,high,E1,east
MS,Schreiner Farm,-107.6116717,38.87607211,30.29999924,26.33333397,24719.33398,1759.256667,low,W3,west
NF,North Fork Trail,-105.4952842,40.48817583,21.20000076,53.33333206,22554.66602,2496.99,high,E2,east
OC,Orchard Creek Ranch,-107.449614,39.57945157,28.63333321,30.33333397,24617.66602,1744.6525,low,W2,west
SC,Spring Canyon Park,-105.12316,40.53927727,28.56666756,44,23473,1567.478182,low,E2,east
SP,Soapstone Prairie,-105.0166973,40.98538158,26.8666668,49.33333206,23214,1924.3725,low,E1,east
